,name,不戦勝,不戦敗,不明勝数,不明勝率,不明敗数,先勝,先勝率,先敗,勝,勝率,千日手,対局数,後勝数,後勝率,後敗数,持,持将棋,敗
0,木村義雄,0,0,3,0.75,1,0,,0,6,0.5,0,12,3,0.375,5,,0,6
0,萩原淳,3,15,61,0.384,98,13,0.433,17,85,0.3664,1,232,8,0.33299999999999996,16,1.0,1,146
0,大野源一,2,10,147,0.519,136,120,0.469,136,415,0.497,9,835,146,0.516,137,1.0,3,419
0,斎藤銀次郎,1,0,101,0.41700000000000004,141,1,0.091,10,103,0.3977,0,259,0,0.0,5,,0,156
0,市川一郎,0,2,15,0.349,28,1,0.25,3,16,0.3265,1,49,0,,0,,0,33
0,鈴木禎一,0,0,2,0.33299999999999996,4,1,0.5,1,3,0.375,0,8,0,,0,,0,5
0,建部和歌夫,0,0,34,0.43,45,1,0.077,12,36,0.3711,0,97,1,0.2,4,,0,61
0,坂口允彦,4,5,132,0.44,168,62,0.3,145,258,0.3468,50,744,60,0.263,168,,0,486
0,塚田正夫,0,12,89,0.536,77,98,0.405,144,286,0.4288,25,667,99,0.401,148,,2,381
0,畝美与吉,1,1,19,0.33299999999999996,38,1,0.5,1,22,0.3438,0,64,1,0.33299999999999996,2,,0,42
0,梶一郎,0,10,33,0.39299999999999996,51,10,0.435,13,47,0.3643,0,129,4,0.364,7,1.0,2,81
0,角田三男,3,2,127,0.426,171,55,0.331,111,229,0.3518,1,651,44,0.242,138,,0,422
0,松下力,7,2,116,0.414,164,85,0.409,123,275,0.4015,23,685,67,0.35600000000000004,121,,4,410
0,小堀清一,11,1,123,0.429,164,111,0.381,180,322,0.3811,1,845,77,0.302,178,,1,523
0,升田幸三,2,21,3,1.0,0,204,0.609,131,401,0.5648,13,710,192,0.552,156,1.0,3,308
0,高島一岐代,1,7,70,0.519,65,30,0.536,26,137,0.5,20,274,36,0.48,39,,5,137
0,野村慶虎,1,0,21,0.382,34,2,0.4,3,24,0.375,1,64,0,0.0,3,,0,40
0,橋爪敏太郎,0,1,39,0.39,61,2,0.4,3,43,0.3874,4,111,2,0.5,2,1.0,1,67
0,大和久彪,0,3,19,0.452,23,5,0.5,5,28,0.4667,4,60,4,0.8,1,,1,32
0,荒巻三之,2,0,52,0.452,63,4,0.25,12,64,0.4238,0,151,6,0.33299999999999996,12,,0,87
0,加藤恵三,0,1,21,0.40399999999999997,31,7,0.778,2,29,0.4394,1,66,1,0.25,3,,0,37
0,村上真一,0,1,19,0.42200000000000004,26,2,0.28600000000000003,5,26,0.4127,0,63,5,0.5,5,,0,37
0,岡崎史明,1,20,121,0.467,138,20,0.444,25,157,0.411,6,382,15,0.263,42,,4,225
0,松田茂役,6,21,161,0.573,120,140,0.449,172,450,0.4668,38,964,143,0.41600000000000004,201,,1,514
0,大山康晴,2,22,0,,0,512,0.621,312,1194,0.6278,34,1902,680,0.6459999999999999,372,2.0,4,706
0,山本武雄,3,0,109,0.38,178,8,0.5710000000000001,6,123,0.3942,1,312,3,0.429,4,1.0,0,188
0,山中和正,5,2,158,0.52,146,83,0.349,155,326,0.4127,13,790,80,0.332,161,,1,464
0,板谷四郎,1,0,45,0.433,59,13,0.44799999999999995,16,64,0.4267,0,150,5,0.313,11,,0,86
0,間宮純一,1,0,11,0.22,39,0,,0,12,0.2105,0,57,0,0.0,5,1.0,0,44
0,藤川義夫,2,8,76,0.374,127,5,0.7140000000000001,2,84,0.3717,1,226,1,0.16699999999999998,5,,0,142
0,金高清吉,1,5,64,0.529,57,10,0.5,10,83,0.5123,1,162,8,0.5710000000000001,6,1.0,3,78
0,本間爽悦,5,7,194,0.54,165,95,0.436,123,380,0.4768,26,797,86,0.413,122,,4,417
0,高柳敏夫,1,0,76,0.392,118,15,0.405,22,103,0.4023,4,256,11,0.45799999999999996,13,,0,153
0,廣津久雄,3,2,152,0.469,172,117,0.40299999999999997,173,383,0.4284,49,894,111,0.405,163,1.0,2,510
0,吉田六彦,0,13,10,0.4,15,1,0.5,1,11,0.2619,0,42,0,0.0,1,1.0,0,30
0,富沢幹雄,9,13,105,0.457,125,127,0.385,203,376,0.4056,12,927,135,0.391,210,,1,551
0,京須行男,0,7,45,0.391,70,6,0.429,8,57,0.38,2,150,6,0.429,8,,2,93
0,原田泰夫,5,0,165,0.5770000000000001,121,125,0.46299999999999997,145,433,0.5064,4,855,138,0.47100000000000003,155,1.0,5,421
0,星田啓三,4,5,109,0.401,163,72,0.379,118,244,0.3807,2,641,59,0.34700000000000003,111,,2,397
0,南口繁一,7,1,110,0.38299999999999995,177,68,0.35600000000000004,123,243,0.3547,15,685,58,0.29100000000000004,141,,2,442
0,北村秀治郎,6,1,101,0.341,195,44,0.32799999999999996,90,188,0.3287,6,572,37,0.27399999999999997,98,,2,384
0,花村元司,7,16,174,0.5760000000000001,128,197,0.524,179,547,0.4964,12,1102,169,0.42100000000000004,232,,4,555
0,山川次彦,3,3,110,0.415,155,12,0.33299999999999996,24,130,0.3824,17,340,5,0.152,28,,2,210
0,佐瀬勇次,8,3,156,0.498,157,122,0.36700000000000005,210,409,0.4274,12,957,123,0.409,178,,1,548
0,加藤博二,7,10,159,0.5660000000000001,122,189,0.447,234,562,0.4853,34,1158,207,0.474,230,,4,596
0,松浦卓造,1,17,116,0.473,129,39,0.355,71,191,0.3922,2,487,35,0.31,78,1.0,0,295
0,丸田祐三,11,1,160,0.569,121,204,0.41,293,582,0.4402,76,1322,207,0.389,325,,8,740
0,灘蓮照,6,18,172,0.56,135,110,0.401,164,434,0.4652,28,933,146,0.445,182,,5,499
0,平野広吉,2,0,29,0.33,59,1,0.25,3,34,0.3505,1,97,2,0.667,1,,0,63
0,五十嵐豊一,7,1,113,0.428,151,114,0.363,200,350,0.3915,10,894,116,0.377,192,,2,544
0,佐藤豊,1,0,9,0.231,30,0,0.0,1,10,0.2381,0,42,0,0.0,1,,0,32
0,木川貴一,1,0,85,0.321,180,8,0.5710000000000001,6,94,0.3287,6,286,0,0.0,6,,2,192
0,下平幸男,4,5,158,0.483,169,87,0.37799999999999995,143,324,0.4075,12,795,75,0.32799999999999996,154,,0,471
0,二見敬三,2,22,155,0.508,150,37,0.435,48,226,0.4321,21,523,32,0.294,77,,2,297
0,西本馨,2,0,42,0.344,80,3,0.6,2,47,0.3561,1,132,0,0.0,3,,0,85
0,熊谷達人,6,7,154,0.524,140,90,0.536,78,334,0.4941,70,676,84,0.418,117,,3,342
0,清野静男,4,11,117,0.39899999999999997,176,45,0.36,80,197,0.3543,3,556,31,0.252,92,,0,359
0,神田鎮雄,3,13,126,0.45299999999999996,152,32,0.525,29,179,0.4345,6,412,18,0.316,39,,1,233
0,増田敏二,1,0,29,0.36700000000000005,50,2,0.33299999999999996,4,32,0.3596,0,89,0,0.0,3,,0,57
0,浅沼一,0,1,12,0.316,26,3,0.75,1,15,0.3409,0,44,0,0.0,1,,0,29
0,二上達也,4,2,187,0.6559999999999999,98,332,0.52,306,823,0.5282,14,1558,300,0.478,328,1.0,7,734
0,橋本三治,1,0,85,0.415,120,61,0.389,96,185,0.3558,5,520,38,0.242,119,,1,335
0,山田道美,4,13,197,0.6940000000000001,87,111,0.624,67,409,0.6216,63,658,97,0.542,82,,3,249
0,津村常吉,1,0,122,0.414,173,12,0.308,27,146,0.4,3,365,11,0.36700000000000005,19,,0,219
0,北村昌男,10,8,185,0.5589999999999999,146,189,0.45299999999999996,228,552,0.4551,85,1213,168,0.377,278,1.0,7,660
0,市川伸,3,5,148,0.48100000000000004,160,4,0.444,5,157,0.4673,2,336,2,0.182,9,,0,179
0,関根茂,9,0,199,0.61,127,259,0.456,309,696,0.4687,10,1485,229,0.39299999999999996,353,,2,789
0,大友昇,7,8,176,0.605,115,50,0.46299999999999997,58,274,0.5404,12,507,41,0.441,52,,0,233
0,佐藤庄平,3,17,132,0.516,124,16,0.552,13,156,0.483,16,323,5,0.278,13,,1,167
0,加藤一二三,6,0,177,0.6829999999999999,82,612,0.542,518,1324,0.5285,98,2505,529,0.47700000000000004,580,1.0,11,1180
0,宮坂幸雄,2,0,198,0.604,130,181,0.386,288,555,0.4498,8,1234,174,0.4,261,,1,679
0,有吉道夫,10,0,210,0.665,106,431,0.521,397,1093,0.5217,52,2095,442,0.47,499,,16,1002
0,長谷部久雄,3,2,140,0.495,143,216,0.512,206,542,0.4865,46,1114,183,0.45299999999999996,221,,3,572
